OBJECTID,CSA2010,paa10,paa15,paa16,paa17,paa18,paa19,paa20,Shape__Area,Shape__Length
36,Midway/Coldstream,95.5631753948462,95.0299273193672,92.7176659774868,91.80059036,91.8903988509556,93.26335217,90.53158393,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,17.5814368585453,18.0576824910669,22.2425270852369,22.0569042,26.6224834312867,27.78414153,28.36274395,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,22.6199690402477,25.2434748733931,25.6902761104442,25.42644993,26.5034280117531,27.92584009,23.0224525,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,11.8357764544205,15.9008568635344,17.6776730468976,16.12285151,15.9472217482795,15.38024326,12.1241348,74923987.6937256,42904.2221443544
40,Northwood,88.6438743015081,85.7100713906425,84.5583550535766,84.4943564,82.9258494031221,81.45120082,78.28390559,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,89.492066660014,88.3144857296715,87.6330967169476,87.2176483,86.0627916843445,85.62806874,77.49025877,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,12.1563903186946,14.2509727626459,13.8147566718995,12.55463592,11.7426021606387,8.958742633,10.05042601,89894372.2113037,47825.8629266244
43,Patterson Park North & East,38.0163585126126,34.1690841276419,31.2333810595214,32.18115124,33.631471785922,35.32030484,27.84916201,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,90.3392635498552,84.9848714069591,84.932042632248,83.99091683,84.5388788426763,84.76602762,82.24727453,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,94.3551117129316,95.9952079411261,95.180176091495,95.21241366,94.728652013227,93.62388184,90.68899317,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,82.8548957923712,79.1497152156225,80.6043847521233,81.58874638,79.7687861271676,77.07648026,78.36294416,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,96.6366809881847,96.4299523134425,96.1849010900283,96.07694638,96.3080335921407,94.86550499,92.47934669,23672092.8682861,20987.1433066354
48,South Baltimore,2.66937246331564,2.43764971114555,1.7262471115944,2.295848227,2.35485180673974,2.389582494,4.605263158,46353935.4255981,68440.0258266401
49,Southeastern,25.3674121405751,26.9747447608812,33.0808080808081,29.58119517,31.4331983805668,29.36791427,24.54223272,111251478.472229,102291.480547698
50,Southern Park Heights,95.7392351701295,94.2937512557766,93.8308457711443,93.32221578,92.103620474407,89.97451824,90.45028143,27876227.5908203,24052.221372193
51,Southwest Baltimore,75.7729941291585,74.2253603314466,75.4915849719499,73.5735914,72.7370689655172,73.87119695,75.2293578,37766068.8365479,28355.563581391
52,The Waverlies,78.7308138784987,75.846587993843,76.1851015801354,71.82928304,73.4643430972685,69.71458091,68.50867375,20383750.5437012,18733.826879757
53,Upton/Druid Heights,92.4095919551344,93.0493496177142,92.0405774483028,91.63565132,90.7692307692307,91.86895811,88.02153432,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,49.0278030165364,53.6950420954163,60.144376899696,57.65315565,55.6016597510373,55.70928488,51.76334554,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,65.5148194971204,69.7817973011772,69.3782004389173,66.2120089,66.2317245716082,64.79163366,51.58583416,45494092.9501953,42573.1244161851
